Transaction Amount,Payment Method,Product Category,Quantity,Customer Age,Device Used,Is Fraudulent,Account Age Days,Transaction Hour,Shipping Billing Same
74.26,bank transfer,clothing,3,56,mobile,0,283,10,1
132.84,bank transfer,clothing,5,35,mobile,0,323,16,1
14.83,bank transfer,health & beauty,1,29,tablet,0,135,13,0
215.87,PayPal,electronics,4,37,mobile,0,275,5,1
62.83,PayPal,toys & games,5,41,tablet,0,112,6,1
70.45,debit card,clothing,1,48,mobile,0,208,5,0
18.03,debit card,health & beauty,3,40,mobile,0,88,6,1
216.71,debit card,toys & games,4,32,tablet,0,37,14,1
453.42,PayPal,electronics,2,38,mobile,0,53,10,1
490.42,credit card,electronics,5,19,mobile,0,284,10,1
38.06,credit card,electronics,4,37,desktop,0,97,14,1
276.53,credit card,toys & games,2,45,desktop,0,92,6,1
120.34,PayPal,toys & games,3,49,mobile,0,39,3,1
467.8,credit card,toys & games,3,42,mobile,0,242,17,1
33.28,PayPal,clothing,1,31,desktop,0,104,12,1
295.52,PayPal,health & beauty,5,28,desktop,1,338,5,1
435.45,PayPal,toys & games,1,19,tablet,0,102,5,1
81.85,credit card,clothing,2,36,desktop,0,345,8,1
208.95,bank transfer,health & beauty,2,24,desktop,1,1,11,1
43.46,bank transfer,clothing,3,20,desktop,0,19,5,1
49.24,debit card,toys & games,4,25,tablet,0,274,0,1
70.01,bank transfer,clothing,2,25,tablet,0,320,20,1
175.0,PayPal,home & garden,4,35,tablet,0,303,14,1
506.76,debit card,clothing,1,36,tablet,0,353,19,1
64.56,credit card,electronics,3,27,desktop,0,148,23,1
156.74,PayPal,health & beauty,4,33,desktop,0,113,15,1
141.17,PayPal,clothing,2,39,mobile,0,269,19,1
142.43,credit card,electronics,1,58,desktop,0,316,8,1
41.95,PayPal,health & beauty,4,28,tablet,0,276,19,1
169.77,debit card,electronics,3,27,mobile,0,99,13,1
160.11,PayPal,health & beauty,5,40,desktop,0,300,0,1
215.27,bank transfer,toys & games,2,37,tablet,0,56,18,1
128.57,PayPal,home & garden,3,16,tablet,0,309,23,1
347.89,PayPal,home & garden,2,39,mobile,0,182,21,1
255.47,credit card,clothing,2,28,tablet,0,204,4,1
357.27,bank transfer,clothing,1,36,tablet,0,183,6,1
231.54,PayPal,clothing,2,30,tablet,0,328,13,1
71.99,bank transfer,clothing,4,35,desktop,0,37,8,1
147.15,debit card,clothing,4,41,mobile,0,75,18,1
37.35,bank transfer,clothing,1,27,desktop,0,241,6,1
161.3,debit card,home & garden,2,19,mobile,0,186,2,1
231.45,bank transfer,clothing,1,39,desktop,1,91,14,1
382.82,credit card,clothing,3,29,desktop,0,253,1,1
172.39,debit card,clothing,3,34,tablet,0,308,10,1
669.0,credit card,toys & games,4,45,desktop,0,85,18,1
153.13,debit card,clothing,3,34,desktop,0,14,9,1
68.62,PayPal,toys & games,5,35,desktop,0,130,1,1
320.28,credit card,electronics,2,40,mobile,0,14,8,1
87.34,debit card,electronics,2,13,desktop,0,316,21,0
35.79,bank transfer,toys & games,5,47,mobile,0,318,4,1
48.75,credit card,electronics,4,20,tablet,0,254,19,1
213.47,bank transfer,toys & games,4,31,desktop,0,181,18,1
417.41,debit card,home & garden,5,36,desktop,0,268,4,1
81.96,credit card,toys & games,5,35,mobile,0,309,3,1
56.58,bank transfer,toys & games,2,20,mobile,0,104,4,1
214.6,debit card,clothing,3,28,tablet,0,327,19,1
40.42,credit card,home & garden,1,31,desktop,0,92,1,1
257.49,credit card,home & garden,5,46,tablet,0,13,5,1
422.26,PayPal,home & garden,4,54,tablet,0,281,3,1
229.8,credit card,toys & games,4,50,tablet,0,49,5,1
74.7,debit card,health & beauty,2,48,mobile,0,161,23,1
179.15,credit card,electronics,2,41,tablet,0,303,14,1
18.61,PayPal,home & garden,3,34,tablet,0,11,12,1
459.5,PayPal,electronics,4,42,tablet,0,174,10,1
42.08,bank transfer,clothing,2,34,desktop,0,298,12,1
597.5,bank transfer,toys & games,2,38,desktop,0,237,19,1
506.86,debit card,health & beauty,2,26,mobile,0,324,16,1
19.82,PayPal,health & beauty,1,49,desktop,0,244,8,1
179.19,credit card,clothing,5,31,desktop,0,232,16,1
49.68,PayPal,health & beauty,4,13,mobile,1,120,23,1
16.79,bank transfer,health & beauty,1,31,desktop,0,121,23,1
26.02,PayPal,toys & games,5,50,mobile,0,216,13,1
205.27,debit card,health & beauty,2,35,tablet,0,89,17,1
399.95,PayPal,toys & games,1,31,tablet,0,332,19,1
404.59,PayPal,health & beauty,2,46,mobile,0,25,19,1
144.53,debit card,clothing,5,21,mobile,0,192,15,1
289.0,bank transfer,health & beauty,3,32,mobile,0,53,16,1
187.01,PayPal,home & garden,1,4,mobile,0,93,14,1
357.5,debit card,electronics,2,23,desktop,0,269,23,1
181.89,bank transfer,health & beauty,4,43,desktop,0,112,5,1
259.78,PayPal,home & garden,1,31,tablet,0,299,19,1
10.89,debit card,toys & games,5,19,mobile,0,83,18,1
175.71,credit card,clothing,5,22,desktop,0,188,22,1
259.31,debit card,clothing,5,26,desktop,0,14,2,1
74.68,PayPal,health & beauty,2,30,tablet,0,354,8,1
255.35,bank transfer,health & beauty,1,30,tablet,0,333,11,1
240.74,credit card,toys & games,4,21,desktop,0,174,18,1
461.8,debit card,clothing,5,39,tablet,0,355,2,1
252.8,bank transfer,clothing,4,29,desktop,1,299,3,1
217.03,credit card,home & garden,4,38,desktop,0,253,20,0
58.78,PayPal,electronics,4,43,desktop,0,118,16,0
363.5,PayPal,clothing,4,30,desktop,0,230,8,1
17.58,debit card,toys & games,5,35,tablet,0,101,0,1
267.24,bank transfer,electronics,4,42,tablet,1,18,6,0
276.91,debit card,clothing,2,29,mobile,0,20,8,1
146.36,PayPal,home & garden,1,28,desktop,0,4,11,1
107.28,credit card,clothing,1,36,tablet,0,344,1,1
100.54,PayPal,electronics,2,16,mobile,0,332,10,1
73.67,PayPal,clothing,4,24,desktop,0,82,4,1
53.13,credit card,electronics,1,43,desktop,0,105,10,1
23.54,PayPal,electronics,4,42,tablet,0,289,3,1
487.54,bank transfer,electronics,5,25,mobile,0,213,0,1
272.42,PayPal,health & beauty,4,33,tablet,0,227,20,1
18.82,credit card,home & garden,2,34,desktop,0,350,3,1
287.86,credit card,electronics,3,25,desktop,0,41,12,0
404.84,PayPal,electronics,5,48,tablet,0,352,9,1
91.63,PayPal,toys & games,2,28,mobile,0,351,20,1
131.33,credit card,electronics,5,56,desktop,0,294,5,1
510.82,bank transfer,toys & games,2,26,tablet,0,313,10,1
19.53,debit card,health & beauty,4,38,desktop,0,35,11,1
230.52,credit card,home & garden,1,26,tablet,0,328,14,1
394.84,debit card,toys & games,2,48,desktop,0,344,13,1
97.45,credit card,clothing,4,23,mobile,0,223,4,1
371.99,bank transfer,electronics,2,38,tablet,0,293,21,1
130.87,bank transfer,electronics,1,34,tablet,0,194,8,1
190.57,PayPal,electronics,3,15,tablet,0,45,1,1
134.54,credit card,clothing,4,52,tablet,0,291,16,1
88.94,debit card,clothing,3,22,mobile,0,216,0,1
152.46,PayPal,health & beauty,5,22,tablet,0,282,2,1
18.04,credit card,clothing,1,35,desktop,0,100,14,1
63.39,PayPal,toys & games,1,35,tablet,0,257,8,1
161.05,PayPal,electronics,2,35,desktop,0,330,6,1
230.21,bank transfer,toys & games,4,44,tablet,0,301,13,1
17.48,bank transfer,electronics,5,24,mobile,0,216,0,1
235.35,bank transfer,electronics,1,10,tablet,0,20,8,1
94.61,bank transfer,toys & games,3,48,mobile,0,339,23,1
183.52,debit card,toys & games,5,45,tablet,0,5,3,1
43.71,PayPal,home & garden,5,55,desktop,0,143,7,1
72.64,debit card,home & garden,4,32,desktop,0,201,11,1
28.65,debit card,electronics,5,25,desktop,0,354,17,1
17.91,credit card,clothing,3,35,desktop,0,312,16,1
229.5,bank transfer,home & garden,2,46,mobile,0,188,16,1
167.13,credit card,toys & games,3,33,tablet,0,186,22,1
38.63,PayPal,electronics,5,36,desktop,0,267,3,0
22.28,bank transfer,clothing,2,34,desktop,0,306,6,1
116.65,bank transfer,toys & games,4,39,desktop,0,297,12,1
129.28,PayPal,electronics,4,39,mobile,0,56,10,0
179.37,debit card,home & garden,2,26,tablet,0,66,9,1
172.16,bank transfer,clothing,1,17,tablet,0,260,4,1
111.65,PayPal,health & beauty,2,22,mobile,1,1,3,1
194.91,bank transfer,toys & games,1,36,tablet,0,307,22,0
31.8,debit card,clothing,5,46,desktop,0,162,10,0
114.58,bank transfer,electronics,5,24,desktop,0,128,3,1
44.16,credit card,clothing,3,39,tablet,0,356,8,1
379.15,credit card,toys & games,4,46,mobile,0,340,11,1
258.55,credit card,electronics,5,47,tablet,0,76,22,1
315.9,debit card,toys & games,1,38,desktop,0,363,21,1
207.06,debit card,health & beauty,3,31,desktop,0,220,2,1
82.98,credit card,health & beauty,5,21,tablet,0,355,18,1
379.44,credit card,electronics,3,34,tablet,0,250,23,1
394.26,credit card,health & beauty,4,24,desktop,0,1,15,1
350.15,PayPal,electronics,4,47,tablet,1,211,12,1
159.81,PayPal,clothing,3,14,mobile,0,190,0,0
96.66,bank transfer,home & garden,2,26,mobile,0,20,14,1
142.2,bank transfer,home & garden,3,54,tablet,0,207,20,1
229.89,credit card,home & garden,5,43,tablet,0,331,0,1
387.99,debit card,home & garden,5,26,tablet,0,347,16,0
87.76,credit card,electronics,2,36,tablet,0,102,2,1
2340.95,bank transfer,health & beauty,3,40,tablet,1,123,3,1
177.24,bank transfer,electronics,4,61,mobile,0,114,1,0
89.58,debit card,health & beauty,1,31,mobile,0,250,6,1
132.79,debit card,toys & games,4,42,mobile,0,69,4,1
562.74,credit card,toys & games,5,22,tablet,0,143,15,1
81.94,debit card,clothing,1,39,desktop,0,172,15,1
121.18,PayPal,home & garden,5,32,mobile,0,87,18,0
152.25,bank transfer,home & garden,1,31,tablet,0,153,16,1
404.79,credit card,home & garden,5,30,mobile,0,140,22,1
138.54,bank transfer,home & garden,2,55,desktop,0,7,6,1
52.04,credit card,health & beauty,3,35,mobile,0,229,2,1
21.49,credit card,home & garden,3,42,desktop,0,156,15,1
309.21,credit card,electronics,5,59,mobile,0,58,8,1
94.62,debit card,toys & games,3,43,tablet,0,339,0,0
94.4,bank transfer,toys & games,2,34,mobile,0,355,13,1
118.06,PayPal,health & beauty,1,32,desktop,0,266,13,1
64.62,PayPal,home & garden,5,27,mobile,0,59,8,1
20.04,PayPal,toys & games,3,39,desktop,0,108,12,1
228.29,bank transfer,electronics,4,30,mobile,0,259,7,0
34.71,debit card,health & beauty,5,31,mobile,0,166,0,1
20.85,credit card,health & beauty,5,43,tablet,0,174,14,1
172.88,PayPal,health & beauty,4,44,tablet,0,277,3,1
95.0,credit card,home & garden,4,49,mobile,0,152,8,1
107.7,bank transfer,clothing,2,38,mobile,0,175,19,1
102.4,debit card,health & beauty,4,26,desktop,0,250,6,1
615.8,credit card,clothing,4,22,tablet,0,333,18,1
147.58,credit card,toys & games,2,46,mobile,0,120,0,1
187.41,PayPal,home & garden,1,49,desktop,1,6,0,1
296.87,debit card,clothing,4,45,mobile,0,176,15,1
90.23,credit card,clothing,3,46,tablet,0,316,3,1
91.85,credit card,toys & games,2,26,desktop,0,253,3,1
18.18,debit card,electronics,4,32,tablet,0,275,23,1
87.98,PayPal,health & beauty,2,27,mobile,0,36,0,1
208.83,credit card,toys & games,5,24,desktop,0,252,22,0
904.66,credit card,toys & games,5,33,mobile,0,232,19,1
54.23,bank transfer,toys & games,1,45,desktop,0,94,12,1
28.64,bank transfer,home & garden,3,27,desktop,0,29,18,1
76.16,credit card,clothing,2,33,desktop,0,153,9,1
243.2,bank transfer,home & garden,5,38,tablet,0,82,19,1
166.03,credit card,toys & games,4,43,tablet,0,268,2,1
82.74,credit card,health & beauty,2,38,mobile,0,357,16,1
472.44,bank transfer,toys & games,5,34,tablet,0,254,22,1
203.28,bank transfer,electronics,5,36,desktop,0,297,6,1
32.57,debit card,toys & games,5,25,mobile,0,168,17,1
344.53,debit card,clothing,1,39,tablet,0,243,13,1
18.14,PayPal,health & beauty,2,42,desktop,0,242,21,1
186.43,credit card,home & garden,5,15,tablet,0,202,12,1
128.8,PayPal,electronics,3,45,desktop,0,217,18,1
188.9,bank transfer,home & garden,4,31,desktop,0,212,20,1
110.78,bank transfer,home & garden,3,31,tablet,0,153,10,1
46.36,bank transfer,clothing,1,36,mobile,0,353,17,1
966.75,credit card,toys & games,4,33,desktop,0,179,0,1
32.73,bank transfer,home & garden,3,13,tablet,0,183,1,1
13.71,debit card,clothing,5,31,tablet,0,264,10,1
378.31,credit card,clothing,1,23,tablet,0,171,20,1
78.42,bank transfer,health & beauty,2,19,mobile,0,232,4,1
575.37,debit card,clothing,5,38,tablet,0,318,8,1
108.53,credit card,health & beauty,2,30,mobile,0,162,21,1
319.52,PayPal,toys & games,4,38,mobile,0,139,4,1
362.4,PayPal,toys & games,2,39,mobile,0,288,21,1
432.63,PayPal,home & garden,4,24,desktop,1,286,9,0
183.41,PayPal,clothing,4,13,mobile,0,129,21,1
409.61,credit card,home & garden,5,15,mobile,0,59,1,1
289.46,PayPal,health & beauty,2,33,desktop,0,240,22,1
62.13,PayPal,clothing,1,14,tablet,0,173,6,1
148.66,credit card,home & garden,2,10,desktop,0,186,13,1
69.18,debit card,electronics,5,38,desktop,0,341,20,1
512.4,debit card,electronics,4,32,mobile,0,192,4,0
146.58,bank transfer,home & garden,5,15,mobile,0,349,3,1
205.81,debit card,health & beauty,4,24,tablet,0,112,21,1
45.94,PayPal,toys & games,4,64,tablet,0,261,8,1
51.61,credit card,home & garden,5,29,tablet,0,81,16,1
27.26,credit card,toys & games,3,35,tablet,0,329,5,0
27.54,debit card,toys & games,2,42,tablet,0,218,1,1
157.87,PayPal,toys & games,1,24,tablet,0,284,10,1
288.3,bank transfer,electronics,3,38,tablet,0,49,6,1
157.04,credit card,clothing,5,40,tablet,0,28,5,1
607.25,PayPal,toys & games,5,26,mobile,0,111,13,1
867.51,debit card,electronics,1,36,mobile,0,285,2,1
76.42,credit card,toys & games,5,23,tablet,0,27,7,1
375.7,PayPal,home & garden,4,23,tablet,0,8,2,1
230.15,credit card,toys & games,3,40,desktop,0,345,9,0
89.52,bank transfer,toys & games,2,44,tablet,0,69,16,1
542.56,bank transfer,home & garden,5,34,mobile,0,110,22,1
242.16,PayPal,clothing,1,41,mobile,0,232,11,1
56.85,credit card,toys & games,5,55,mobile,0,145,0,1
14.79,PayPal,electronics,2,25,tablet,0,51,21,1
29.47,bank transfer,home & garden,5,30,desktop,0,251,4,1
211.05,bank transfer,clothing,5,44,mobile,0,256,21,1
55.32,PayPal,health & beauty,4,17,mobile,0,86,21,1
121.19,PayPal,home & garden,5,52,desktop,0,96,15,1
357.78,debit card,health & beauty,1,15,mobile,0,47,9,0
813.96,bank transfer,toys & games,1,26,desktop,0,105,15,1
137.63,PayPal,clothing,5,23,mobile,0,38,11,1
158.55,PayPal,toys & games,1,35,desktop,0,33,23,1
10.19,debit card,electronics,1,44,tablet,0,349,13,1
255.67,PayPal,toys & games,1,39,tablet,0,93,11,1
118.84,credit card,clothing,5,34,desktop,0,214,18,1
183.72,PayPal,toys & games,3,23,mobile,0,10,1,1
224.37,credit card,health & beauty,4,30,mobile,0,151,11,1
236.43,bank transfer,electronics,2,33,mobile,0,148,19,1
142.94,PayPal,health & beauty,4,31,desktop,0,228,10,0
226.55,credit card,health & beauty,2,23,desktop,0,11,18,1
86.63,bank transfer,toys & games,3,36,desktop,0,124,11,1
49.96,PayPal,electronics,4,24,desktop,0,276,9,1
194.05,debit card,electronics,4,52,tablet,1,27,8,1
389.03,PayPal,electronics,4,45,desktop,0,210,15,1
222.23,bank transfer,electronics,3,38,mobile,0,81,1,1
49.19,debit card,health & beauty,1,26,mobile,0,106,4,1
283.82,PayPal,health & beauty,2,29,desktop,0,305,4,1
437.21,debit card,home & garden,4,39,desktop,0,242,5,1
203.43,bank transfer,clothing,4,32,tablet,0,269,6,1
124.95,credit card,toys & games,3,45,desktop,0,23,3,1
43.4,bank transfer,health & beauty,5,38,tablet,0,346,21,1
239.92,debit card,toys & games,2,35,mobile,0,252,9,1
187.73,bank transfer,toys & games,5,15,tablet,0,61,14,1
132.41,debit card,electronics,3,26,mobile,0,312,7,1
211.72,debit card,clothing,3,37,mobile,0,147,6,1
120.79,bank transfer,toys & games,4,33,tablet,0,141,21,1
56.35,debit card,clothing,2,33,mobile,0,91,0,1
788.21,bank transfer,home & garden,4,37,tablet,0,321,18,1
49.91,bank transfer,health & beauty,3,39,mobile,0,338,11,1
480.03,debit card,clothing,4,34,tablet,0,168,19,1
98.63,bank transfer,toys & games,5,15,desktop,0,272,7,1
77.85,credit card,toys & games,3,40,tablet,0,279,11,0
153.89,PayPal,home & garden,5,34,desktop,0,125,12,1
46.52,PayPal,home & garden,2,17,mobile,0,66,1,1
73.93,debit card,electronics,2,45,mobile,0,89,6,1
45.21,PayPal,home & garden,2,34,desktop,0,165,5,1
84.74,PayPal,electronics,2,45,mobile,0,270,8,1
67.37,credit card,toys & games,3,22,desktop,0,336,9,1
166.37,credit card,home & garden,4,22,desktop,0,297,0,1
180.53,PayPal,health & beauty,4,39,mobile,0,49,7,1
798.07,credit card,home & garden,1,0,desktop,0,340,17,1
55.39,PayPal,health & beauty,2,28,mobile,0,245,8,1
134.8,bank transfer,toys & games,5,44,tablet,0,34,6,1
79.11,debit card,electronics,2,15,desktop,0,202,2,1
687.12,debit card,health & beauty,2,44,tablet,0,309,11,1
19.1,debit card,electronics,2,57,desktop,0,190,7,1
385.15,PayPal,home & garden,1,46,desktop,0,44,22,1
22.25,PayPal,toys & games,2,35,mobile,0,38,2,1
193.11,debit card,home & garden,4,32,desktop,0,66,4,1
38.59,PayPal,toys & games,4,42,mobile,0,118,15,1
63.18,PayPal,health & beauty,3,42,desktop,0,21,17,1
214.2,PayPal,clothing,5,29,desktop,0,110,12,1
110.59,bank transfer,toys & games,3,34,desktop,0,310,0,1
622.26,bank transfer,clothing,1,45,mobile,0,20,18,1
350.77,credit card,electronics,2,22,mobile,1,12,5,1
156.73,debit card,home & garden,1,36,tablet,0,230,12,1
39.97,bank transfer,home & garden,2,30,tablet,0,178,2,1
284.94,PayPal,toys & games,2,30,tablet,0,265,10,1
69.47,PayPal,toys & games,5,41,desktop,0,259,17,1
528.63,debit card,home & garden,3,28,mobile,0,162,10,1
397.96,credit card,health & beauty,3,47,desktop,0,27,20,1
105.54,debit card,health & beauty,4,34,mobile,0,190,22,1
287.37,PayPal,toys & games,4,50,mobile,0,96,10,1
174.66,credit card,electronics,1,35,desktop,0,201,21,1
2462.8,PayPal,health & beauty,5,21,tablet,1,12,1,0
172.45,PayPal,electronics,5,52,mobile,0,165,10,1
189.46,debit card,clothing,3,32,mobile,0,296,22,1
323.33,debit card,health & beauty,1,21,desktop,0,142,23,1
21.36,bank transfer,health & beauty,1,38,tablet,0,234,6,0
39.35,debit card,electronics,1,24,tablet,0,228,9,1
172.75,credit card,health & beauty,4,39,desktop,0,252,23,1
115.37,debit card,home & garden,4,37,desktop,0,306,7,1
29.25,bank transfer,clothing,5,40,desktop,0,242,15,1
274.39,PayPal,electronics,4,54,tablet,0,325,14,1
386.23,PayPal,home & garden,4,41,desktop,0,346,2,1
228.72,debit card,electronics,1,22,mobile,0,241,19,1
211.97,PayPal,health & beauty,2,10,tablet,0,311,10,1
264.32,PayPal,home & garden,1,34,tablet,0,65,13,1
31.77,bank transfer,electronics,4,39,tablet,0,127,19,0
78.68,bank transfer,clothing,2,47,desktop,0,240,7,1
717.06,debit card,electronics,1,23,tablet,0,111,10,0
450.93,bank transfer,toys & games,3,33,tablet,0,50,4,1
372.47,credit card,health & beauty,5,34,mobile,0,320,2,1
279.59,PayPal,toys & games,2,37,desktop,0,231,22,1
33.53,PayPal,health & beauty,4,29,desktop,0,76,18,1
1146.52,debit card,electronics,1,45,desktop,0,98,0,1
247.21,bank transfer,toys & games,2,33,desktop,0,182,15,1
142.31,credit card,health & beauty,4,50,mobile,0,353,10,1
101.97,debit card,toys & games,2,33,mobile,0,34,11,1
100.62,PayPal,clothing,2,39,desktop,0,216,21,1
69.94,debit card,health & beauty,4,22,desktop,0,163,23,1
101.55,debit card,toys & games,1,43,tablet,0,80,22,1
423.12,PayPal,clothing,4,32,tablet,0,335,18,1
33.06,credit card,electronics,3,17,tablet,0,311,5,1
122.88,debit card,toys & games,1,42,mobile,0,55,16,1
169.57,PayPal,clothing,2,26,mobile,0,233,3,1
69.26,debit card,health & beauty,4,47,mobile,1,30,0,0
136.15,bank transfer,health & beauty,5,22,mobile,0,273,13,1
241.05,PayPal,electronics,1,33,tablet,0,36,13,1
124.7,bank transfer,health & beauty,2,41,desktop,0,48,18,1
200.27,bank transfer,clothing,5,41,tablet,0,279,6,0
904.84,bank transfer,health & beauty,4,48,tablet,0,91,0,1
312.38,bank transfer,home & garden,5,32,tablet,0,196,21,1
488.7,credit card,toys & games,1,15,desktop,0,159,4,1
161.34,credit card,electronics,1,29,mobile,0,33,18,1
82.7,credit card,electronics,5,44,mobile,0,332,19,1
27.74,credit card,health & beauty,4,44,desktop,0,264,12,1
229.47,bank transfer,health & beauty,1,27,tablet,0,49,13,1
1906.95,PayPal,home & garden,4,32,mobile,1,17,4,1
129.7,credit card,home & garden,5,35,mobile,0,139,20,1
72.67,PayPal,toys & games,3,23,desktop,0,21,5,1
401.03,bank transfer,home & garden,2,40,desktop,0,45,14,1
38.66,bank transfer,clothing,3,36,mobile,0,203,0,1
606.31,PayPal,health & beauty,2,12,desktop,0,43,15,1
417.68,PayPal,toys & games,5,35,desktop,0,296,13,1
141.08,PayPal,clothing,2,41,mobile,0,306,10,1
399.11,credit card,clothing,1,40,mobile,0,256,13,1
161.86,credit card,home & garden,5,31,tablet,0,150,20,1
1143.72,PayPal,clothing,1,36,tablet,0,148,16,1
74.7,debit card,electronics,1,24,desktop,0,59,11,1
750.1999999999999,bank transfer,health & beauty,3,38,tablet,1,6,16,1
55.6,PayPal,health & beauty,5,17,tablet,0,244,15,1
17.53,credit card,electronics,4,58,mobile,0,298,22,1
22.18,credit card,home & garden,3,42,desktop,0,296,6,1
24.5,bank transfer,clothing,5,34,tablet,0,342,2,1
91.74,credit card,home & garden,1,55,mobile,1,2,18,1
68.48,bank transfer,clothing,4,34,mobile,0,67,3,1
87.13,PayPal,toys & games,5,40,mobile,0,2,23,1
133.76,bank transfer,electronics,3,39,tablet,0,152,22,1
185.51,credit card,clothing,1,41,desktop,0,173,16,1
164.98,PayPal,clothing,5,50,tablet,0,56,17,1
69.94,bank transfer,electronics,1,35,desktop,0,82,21,1
538.63,bank transfer,electronics,3,45,mobile,0,287,3,1
148.02,bank transfer,home & garden,2,36,tablet,0,19,18,1
55.66,PayPal,health & beauty,4,31,desktop,0,255,22,1
111.7,credit card,toys & games,4,40,desktop,0,111,8,1
367.61,PayPal,clothing,5,36,tablet,0,111,5,1
431.58,credit card,electronics,5,59,desktop,0,225,3,1
375.8,bank transfer,clothing,5,17,tablet,0,200,19,1
263.32,bank transfer,electronics,1,31,mobile,0,200,19,1
199.25,debit card,clothing,1,27,desktop,0,23,8,1
699.69,bank transfer,health & beauty,2,34,mobile,0,122,6,1
363.18,bank transfer,toys & games,3,58,desktop,0,87,6,1
430.52,bank transfer,toys & games,2,44,desktop,0,29,20,1
227.12,PayPal,electronics,1,31,desktop,0,302,8,1
191.13,debit card,clothing,1,20,mobile,0,301,5,1
39.47,PayPal,electronics,1,50,tablet,0,172,23,1
737.79,PayPal,home & garden,4,49,tablet,0,184,11,1
127.94,PayPal,home & garden,2,35,mobile,0,190,13,1
471.75,debit card,home & garden,5,31,desktop,0,13,13,0
135.02,debit card,home & garden,5,27,mobile,0,298,3,1
32.95,debit card,electronics,5,34,desktop,0,262,21,1
301.53,PayPal,electronics,2,36,desktop,0,212,6,1
45.23,credit card,electronics,1,33,mobile,0,188,20,1
78.95,bank transfer,clothing,4,50,mobile,0,163,18,1
640.36,debit card,clothing,4,45,tablet,0,196,16,1
28.72,debit card,toys & games,5,28,mobile,0,145,1,1
328.71,debit card,electronics,2,39,mobile,0,220,17,1
100.86,credit card,health & beauty,3,46,mobile,1,15,22,1
49.95,bank transfer,toys & games,2,42,desktop,0,114,5,1
731.47,PayPal,home & garden,4,42,desktop,0,90,2,1
132.77,credit card,electronics,4,40,mobile,0,26,23,1
182.43,PayPal,home & garden,4,24,tablet,0,104,12,1
308.95,credit card,toys & games,4,42,tablet,0,358,18,1
11.24,bank transfer,health & beauty,3,37,mobile,0,5,0,1
28.38,PayPal,home & garden,2,40,desktop,0,285,12,0
268.42,debit card,clothing,2,23,desktop,0,140,4,1
163.07,bank transfer,clothing,1,35,tablet,0,329,10,1
28.09,bank transfer,electronics,4,37,desktop,0,216,19,1
350.46,debit card,electronics,3,27,desktop,0,287,14,1
744.11,bank transfer,home & garden,4,30,desktop,0,236,19,1
929.49,credit card,electronics,1,34,mobile,0,320,0,1
54.69,credit card,home & garden,4,51,tablet,0,107,3,1
274.96,credit card,clothing,1,21,mobile,0,31,15,0
790.22,PayPal,home & garden,1,41,tablet,0,222,4,1
112.22,credit card,electronics,5,26,desktop,0,153,0,1
26.15,credit card,electronics,5,10,tablet,0,292,14,1
119.45,debit card,home & garden,3,31,tablet,0,278,17,1
104.88,bank transfer,home & garden,2,38,tablet,0,351,3,1
448.61,debit card,clothing,5,49,desktop,0,304,7,1
79.57,debit card,toys & games,3,57,desktop,0,118,11,1
43.6,debit card,home & garden,1,38,mobile,0,43,7,1
177.2,debit card,toys & games,3,41,tablet,0,116,14,1
746.19,debit card,clothing,4,51,mobile,0,241,10,1
156.69,credit card,clothing,1,46,desktop,0,277,1,1
264.88,bank transfer,health & beauty,2,27,tablet,0,158,14,1
246.71,bank transfer,clothing,5,45,mobile,0,113,7,1
114.28,debit card,electronics,3,18,tablet,0,50,15,1
104.73,credit card,health & beauty,5,24,mobile,0,4,3,1
66.44,bank transfer,home & garden,3,33,mobile,0,120,13,1
18.22,bank transfer,health & beauty,1,42,tablet,0,133,13,1
29.1,debit card,toys & games,2,47,desktop,0,65,20,0
711.65,bank transfer,clothing,3,50,tablet,0,347,22,1
33.66,debit card,health & beauty,4,39,mobile,0,304,20,1
147.33,PayPal,clothing,5,37,mobile,0,325,7,1
84.31,debit card,electronics,4,26,tablet,0,118,18,1
44.45,bank transfer,home & garden,5,30,tablet,0,192,16,1
42.73,bank transfer,toys & games,2,7,mobile,0,195,15,1
268.09,PayPal,health & beauty,4,35,desktop,0,216,6,1
190.63,debit card,toys & games,5,35,mobile,0,41,12,0
372.91,bank transfer,clothing,2,29,tablet,0,8,3,1
37.94,credit card,clothing,3,29,mobile,0,326,11,1
734.35,PayPal,electronics,5,28,mobile,1,4,3,0
82.68,bank transfer,clothing,3,23,tablet,0,123,11,1
137.64,credit card,electronics,1,35,mobile,0,281,9,1
379.79,debit card,home & garden,5,38,tablet,0,195,7,1
61.3,PayPal,health & beauty,2,23,desktop,0,36,21,1
94.14,debit card,toys & games,2,33,desktop,0,91,19,1
60.07,PayPal,electronics,2,33,mobile,0,97,11,1
146.65,bank transfer,toys & games,2,42,tablet,0,214,3,0
54.44,PayPal,clothing,5,53,tablet,0,99,23,1
360.83,PayPal,clothing,2,33,mobile,0,187,14,1
176.18,PayPal,electronics,4,40,desktop,0,300,12,1
426.04,PayPal,toys & games,5,35,mobile,0,191,0,0
238.73,PayPal,health & beauty,3,37,mobile,0,23,5,1
131.5,bank transfer,toys & games,2,23,desktop,0,27,2,1
433.83,bank transfer,home & garden,4,29,desktop,0,362,8,1
198.74,bank transfer,health & beauty,4,48,mobile,0,351,1,0
1039.87,credit card,clothing,5,48,mobile,0,299,20,1
